timestamp_utc,datetime_kst,date_kst,hour_kst,datetime_kst_str,volume_btc,volume_usd
2026-03-25 04:00:00+00:00,2026-03-25 13:00:00+09:00,2026-03-25,13:00,2026-03-25 13:00 KST,431.33,30538212.38
2026-03-25 05:00:00+00:00,2026-03-25 14:00:00+09:00,2026-03-25,14:00,2026-03-25 14:00 KST,725.51,51611114.14
2026-03-25 06:00:00+00:00,2026-03-25 15:00:00+09:00,2026-03-25,15:00,2026-03-25 15:00 KST,486.73,34622590.57
2026-03-25 07:00:00+00:00,2026-03-25 16:00:00+09:00,2026-03-25,16:00,2026-03-25 16:00 KST,506.31,35965262.96
2026-03-25 08:00:00+00:00,2026-03-25 17:00:00+09:00,2026-03-25,17:00,2026-03-25 17:00 KST,772.72,55013448.76
2026-03-25 09:00:00+00:00,2026-03-25 18:00:00+09:00,2026-03-25,18:00,2026-03-25 18:00 KST,449.48,32029933.16
2026-03-25 10:00:00+00:00,2026-03-25 19:00:00+09:00,2026-03-25,19:00,2026-03-25 19:00 KST,581.76,41563470.91
2026-03-25 11:00:00+00:00,2026-03-25 20:00:00+09:00,2026-03-25,20:00,2026-03-25 20:00 KST,1553.84,111561345.93
2026-03-25 12:00:00+00:00,2026-03-25 21:00:00+09:00,2026-03-25,21:00,2026-03-25 21:00 KST,1505.1,107596100.4
2026-03-25 13:00:00+00:00,2026-03-25 22:00:00+09:00,2026-03-25,22:00,2026-03-25 22:00 KST,1590.16,114070370.96
2026-03-25 14:00:00+00:00,2026-03-25 23:00:00+09:00,2026-03-25,23:00,2026-03-25 23:00 KST,1537.46,109800001.15
2026-03-25 15:00:00+00:00,2026-03-26 00:00:00+09:00,2026-03-26,00:00,2026-03-26 00:00 KST,1557.35,110394384.59
2026-03-25 16:00:00+00:00,2026-03-26 01:00:00+09:00,2026-03-26,01:00,2026-03-26 01:00 KST,1586.03,113049872.28
2026-03-25 17:00:00+00:00,2026-03-26 02:00:00+09:00,2026-03-26,02:00,2026-03-26 02:00 KST,1083.82,76926291.84
2026-03-25 18:00:00+00:00,2026-03-26 03:00:00+09:00,2026-03-26,03:00,2026-03-26 03:00 KST,917.18,65017193.48
2026-03-25 19:00:00+00:00,2026-03-26 04:00:00+09:00,2026-03-26,04:00,2026-03-26 04:00 KST,1085.96,76979463.36
2026-03-25 20:00:00+00:00,2026-03-26 05:00:00+09:00,2026-03-26,05:00,2026-03-26 05:00 KST,763.59,54050470.77
2026-03-25 21:00:00+00:00,2026-03-26 06:00:00+09:00,2026-03-26,06:00,2026-03-26 06:00 KST,480.78,34142436.6
2026-03-25 22:00:00+00:00,2026-03-26 07:00:00+09:00,2026-03-26,07:00,2026-03-26 07:00 KST,776.7,55314118.9
2026-03-25 23:00:00+00:00,2026-03-26 08:00:00+09:00,2026-03-26,08:00,2026-03-26 08:00 KST,512.28,36530446.45
